Feature,Importance
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.0010006576015851
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.0009959734625473
original_glszm_LargeAreaLowGrayLevelEmphasis,0.000991369034231
log-sigma-4-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0009748626589338
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.0009720931614337
lbp-3D-m2_firstorder_RobustMeanAbsoluteDeviation,0.0009706175096583
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.0009633255310821
wavelet-HLH_ngtdm_Strength,0.0009623854020042
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.0009618232351657
wavelet-LHH_glcm_DifferenceVariance,0.0009608935974708
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.0009540204126203
squareroot_glrlm_ShortRunEmphasis,0.0009521578273426
log-sigma-5-0-mm-3D_glrlm_RunVariance,0.0009506420300645
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.0009469997273804
log-sigma-4-0-mm-3D_firstorder_Uniformity,0.0009460101271254
exponential_firstorder_Range,0.0009453573872841
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.0009449340521014
wavelet-LLH_glcm_Imc1,0.0009445007004287
original_shape_Maximum2DDiameterSlice,0.0009438013287202
lbp-3D-k_gldm_LargeDependenceEmphasis,0.0009417829646401
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.0009417201576374
wavelet-HLL_firstorder_Maximum,0.0009386945734138
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.0009381554427831
square_glrlm_ShortRunHighGrayLevelEmphasis,0.0009374888595277
wavelet-HHH_glcm_SumSquares,0.0009364194437081
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.0009360242314342
squareroot_glrlm_LongRunLowGrayLevelEmphasis,0.0009359905611615
wavelet-LHL_ngtdm_Contrast,0.0009356737560346
wavelet-LHL_firstorder_Kurtosis,0.0009353347576085
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.0009336159010245
wavelet-LHL_glcm_Id,0.0009315973781434
wavelet-HLL_glrlm_RunVariance,0.0009308754029085
wavelet-HLH_glrlm_GrayLevelVariance,0.0009300073618458
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.0009298957105077
log-sigma-4-0-mm-3D_firstorder_Median,0.0009291374432661
log-sigma-5-0-mm-3D_firstorder_Mean,0.0009276955902543
wavelet-HLH_firstorder_Energy,0.0009265531702476
log-sigma-4-0-mm-3D_glcm_Imc1,0.0009245622080427
log-sigma-5-0-mm-3D_gldm_SmallDependenceEmphasis,0.0009204116560686
wavelet-LHH_ngtdm_Complexity,0.0009148797312243
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.000914273971377
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.0009137698116068
lbp-3D-k_glszm_SmallAreaHighGrayLevelEmphasis,0.0009119929613799
lbp-3D-k_gldm_GrayLevelVariance,0.0009110242881766
wavelet-HLH_glcm_ClusterShade,0.0009109380612092
wavelet-LLL_firstorder_Minimum,0.0009107583606834
lbp-3D-k_ngtdm_Complexity,0.0009095578721087
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.0009091244625504
